X [m], Y [m], Z [m], MagneticFluxDensity X [T], MagneticFluxDensity Y [T], MagneticFluxDensity Z [T]
0.251, 0.11, 0.003, -0.000120635, -1.11618e-05, -6.98267e-06
0.2507, 0.11, 0.003, -0.000120635, -1.11618e-05, -6.98267e-06
0.25085, 0.11, 0.003, -0.000120635, -1.11618e-05, -6.98267e-06
0.2507, 0.11, 0.003, -0.000121198, -1.13892e-05, -7.0292e-06
0.2504, 0.11, 0.003, -0.000121198, -1.13892e-05, -7.0292e-06
0.25055, 0.11, 0.003, -0.000121198, -1.13892e-05, -7.0292e-06
0.2504, 0.11, 0.003, -0.000121758, -1.16289e-05, -7.07609e-06
0.2501, 0.11, 0.003, -0.000121758, -1.16289e-05, -7.07609e-06
0.25025, 0.11, 0.003, -0.000121758, -1.16289e-05, -7.07609e-06
0.2501, 0.11, 0.003, -0.000122317, -1.1881e-05, -7.12332e-06
0.2498, 0.11, 0.003, -0.000122317, -1.1881e-05, -7.12332e-06
0.24995, 0.11, 0.003, -0.000122317, -1.1881e-05, -7.12332e-06
0.2498, 0.11, 0.003, -0.000122872, -1.21454e-05, -7.17091e-06
0.2495, 0.11, 0.003, -0.000122872, -1.21454e-05, -7.17091e-06
0.24965, 0.11, 0.003, -0.000122872, -1.21454e-05, -7.17091e-06
0.2495, 0.11, 0.003, -0.000123426, -1.24222e-05, -7.21885e-06
0.2492, 0.11, 0.003, -0.000123426, -1.24222e-05, -7.21885e-06
0.24935, 0.11, 0.003, -0.000123426, -1.24222e-05, -7.21885e-06
0.2492, 0.11, 0.003, -0.000123977, -1.27114e-05, -7.26714e-06
0.2489, 0.11, 0.003, -0.000123977, -1.27114e-05, -7.26714e-06
0.24905, 0.11, 0.003, -0.000123977, -1.27114e-05, -7.26714e-06
0.2489, 0.11, 0.003, -0.000124527, -1.30129e-05, -7.31579e-06
0.2486, 0.11, 0.003, -0.000124527, -1.30129e-05, -7.31579e-06
0.24875, 0.11, 0.003, -0.000124527, -1.30129e-05, -7.31579e-06
0.2486, 0.11, 0.003, -0.000125074, -1.33268e-05, -7.36479e-06
0.2483, 0.11, 0.003, -0.000125074, -1.33268e-05, -7.36479e-06
0.24845, 0.11, 0.003, -0.000125074, -1.33268e-05, -7.36479e-06
0.2483, 0.11, 0.003, -0.000125618, -1.36531e-05, -7.41413e-06
0.248, 0.11, 0.003, -0.000125618, -1.36531e-05, -7.41413e-06
0.24815, 0.11, 0.003, -0.000125618, -1.36531e-05, -7.41413e-06
0.248, 0.11, 0.003, -0.000126161, -1.39917e-05, -7.46384e-06
0.2477, 0.11, 0.003, -0.000126161, -1.39917e-05, -7.46384e-06
0.24785, 0.11, 0.003, -0.000126161, -1.39917e-05, -7.46384e-06
0.2477, 0.11, 0.003, -0.000126701, -1.43426e-05, -7.51389e-06
0.2474, 0.11, 0.003, -0.000126701, -1.43426e-05, -7.51389e-06
0.24755, 0.11, 0.003, -0.000126701, -1.43426e-05, -7.51389e-06
0.2474, 0.11, 0.003, -0.000127239, -1.47059e-05, -7.56429e-06
0.2471, 0.11, 0.003, -0.000127239, -1.47059e-05, -7.56429e-06
0.24725, 0.11, 0.003, -0.000127239, -1.47059e-05, -7.56429e-06
0.2471, 0.11, 0.003, -0.000127774, -1.50816e-05, -7.61505e-06
0.2468, 0.11, 0.003, -0.000127774, -1.50816e-05, -7.61505e-06
0.24695, 0.11, 0.003, -0.000127774, -1.50816e-05, -7.61505e-06
0.2468, 0.11, 0.003, -0.000128308, -1.54697e-05, -7.66616e-06
0.2465, 0.11, 0.003, -0.000128308, -1.54697e-05, -7.66616e-06
0.24665, 0.11, 0.003, -0.000128308, -1.54697e-05, -7.66616e-06
0.2465, 0.11, 0.003, -0.000128839, -1.58701e-05, -7.71762e-06
0.2462, 0.11, 0.003, -0.000128839, -1.58701e-05, -7.71762e-06
0.24635, 0.11, 0.003, -0.000128839, -1.58701e-05, -7.71762e-06
0.2462, 0.11, 0.003, -0.000129368, -1.62828e-05, -7.76943e-06
0.2459, 0.11, 0.003, -0.000129368, -1.62828e-05, -7.76943e-06
0.24605, 0.11, 0.003, -0.000129368, -1.62828e-05, -7.76943e-06
0.2459, 0.11, 0.003, -0.000129895, -1.67079e-05, -7.82159e-06
0.2456, 0.11, 0.003, -0.000129895, -1.67079e-05, -7.82159e-06
0.24575, 0.11, 0.003, -0.000129895, -1.67079e-05, -7.82159e-06
0.2456, 0.11, 0.003, -0.000130419, -1.71454e-05, -7.87411e-06
0.2453, 0.11, 0.003, -0.000130419, -1.71454e-05, -7.87411e-06
0.24545, 0.11, 0.003, -0.000130419, -1.71454e-05, -7.87411e-06
0.2453, 0.11, 0.003, -0.000130941, -1.75952e-05, -7.92698e-06
0.245, 0.11, 0.003, -0.000130941, -1.75952e-05, -7.92698e-06
0.24515, 0.11, 0.003, -0.000130941, -1.75952e-05, -7.92698e-06
0.245, 0.11, 0.003, -0.000131461, -1.80574e-05, -7.9802e-06
0.2447, 0.11, 0.003, -0.000131461, -1.80574e-05, -7.9802e-06
0.24485, 0.11, 0.003, -0.000131461, -1.80574e-05, -7.9802e-06
0.2447, 0.11, 0.003, -0.000131979, -1.8532e-05, -8.03377e-06
0.2444, 0.11, 0.003, -0.000131979, -1.8532e-05, -8.03377e-06
0.24455, 0.11, 0.003, -0.000131979, -1.8532e-05, -8.03377e-06
0.2444, 0.11, 0.003, -0.000132494, -1.90189e-05, -8.08769e-06
0.2441, 0.11, 0.003, -0.000132494, -1.90189e-05, -8.08769e-06
0.24425, 0.11, 0.003, -0.000132494, -1.90189e-05, -8.08769e-06
0.2441, 0.11, 0.003, -0.000133007, -1.95182e-05, -8.14197e-06
0.2438, 0.11, 0.003, -0.000133007, -1.95182e-05, -8.14197e-06
0.24395, 0.11, 0.003, -0.000133007, -1.95182e-05, -8.14197e-06
0.2438, 0.11, 0.003, -0.000133518, -2.00298e-05, -8.19659e-06
0.2435, 0.11, 0.003, -0.000133518, -2.00298e-05, -8.19659e-06
0.24365, 0.11, 0.003, -0.000133518, -2.00298e-05, -8.19659e-06
0.2435, 0.11, 0.003, -0.000134027, -2.05538e-05, -8.25157e-06
0.2432, 0.11, 0.003, -0.000134027, -2.05538e-05, -8.25157e-06
0.24335, 0.11, 0.003, -0.000134027, -2.05538e-05, -8.25157e-06
0.2432, 0.11, 0.003, -0.000134533, -2.10902e-05, -8.3069e-06
0.2429, 0.11, 0.003, -0.000134533, -2.10902e-05, -8.3069e-06
0.24305, 0.11, 0.003, -0.000134533, -2.10902e-05, -8.3069e-06
0.2429, 0.11, 0.003, -0.000135037, -2.16389e-05, -8.36259e-06
0.2426, 0.11, 0.003, -0.000135037, -2.16389e-05, -8.36259e-06
0.24275, 0.11, 0.003, -0.000135037, -2.16389e-05, -8.36259e-06
0.2426, 0.11, 0.003, -0.000135539, -2.21999e-05, -8.41862e-06
0.2423, 0.11, 0.003, -0.000135539, -2.21999e-05, -8.41862e-06
0.24245, 0.11, 0.003, -0.000135539, -2.21999e-05, -8.41862e-06
0.2423, 0.11, 0.003, -0.000136039, -2.27734e-05, -8.47501e-06
0.242, 0.11, 0.003, -0.000136039, -2.27734e-05, -8.47501e-06
0.24215, 0.11, 0.003, -0.000136039, -2.27734e-05, -8.47501e-06
0.242, 0.11, 0.003, -0.000136536, -2.33592e-05, -8.53175e-06
0.2417, 0.11, 0.003, -0.000136536, -2.33592e-05, -8.53175e-06
0.24185, 0.11, 0.003, -0.000136536, -2.33592e-05, -8.53175e-06
0.2417, 0.11, 0.003, -0.000137032, -2.39573e-05, -8.58884e-06
0.2414, 0.11, 0.003, -0.000137032, -2.39573e-05, -8.58884e-06
0.24155, 0.11, 0.003, -0.000137032, -2.39573e-05, -8.58884e-06
0.2414, 0.11, 0.003, -0.000137524, -2.45678e-05, -8.64628e-06
